No.;Categoría de servicio;Análisis/servicios;Explicación del modelo o entregable;Ejemplo de entregable;Total de horas estimadas*;Precio de referencia (2024);Factor para manejar economía de escala;En cuánto tiempo aproximadamente se entrega uno de los procesos, previo agendamiento.;"Número de modelos a realizar


(Se debe llenar)";Precio de referencia por X modelos - Ahorro por economía de escala;;;;;;;;;
63;Ponderación;Factor de Expansión en muestreos no-probabilísticos (estimaciones doblemente robustas);Se deben incluir unas preguntas de validación en el cuestionario de un estuid probabilístico, según el diseño muestral y se requiere especificar en la metodología las variables a usar. El archivo se entrega en excel de la base de datos muestrales con el factor de expansión para cada registro y las tablas del universo representado por esta encuesta.;;56; $ 5.489.336 ; 1,00 ;Una semana;0; -   ;0;;;;;;;;
64;Selección IDM;Selección IDM por listado;Se entrega el listado de los seleccionados con el 20% de sobremuestra.;;5; $ 511.766 ; 1,00 ;Dos días;0; -   ;0;;;;;;;;
65;Selección IDM;Selección IDM de municipios menos de 5 municpios);Listado de IDM seleccionados por municipios y en muestreos no probabilísticos con el 50% de reemplazos y probabilísticos 20%.;;4,5; $ 278.757 ; 1,00 ;Dos días;0; -   ;0;;;;;;;;
66;Selección IDM;Selección IDM entre 6 y 20 municipios;Listado de IDM seleccionados por municipios y en muestreos no probabilísticos con el 50% de reemplazos y probabilísticos 20%.;;7,5; $ 464.595 ; 1,00 ;Dos días;0; -   ;0;;;;;;;;
67;Selección IDM;Selección IDM más de 20 municipios;Listado de IDM seleccionados por municipios y en muestreos no probabilísticos con el 50% de reemplazos y probabilísticos 20%.;;11; $ 883.442 ; 1,00 ;Tres días;0; -   ;0;;;;;;;;
68;Selección IDM;Reemplazos de IDM;Por cada pedido de reemplazos, se costea este tiempo.;;2; $ 184.503 ; 1,00 ;"El mismo día
(si se solicita antes del medio día)";0; -   ;0;;;;;;;;
69;Selección IDM;Cartografía para un municipio nuevo en la selección de IDM;Se cargan los mapas en pdf a la carpeta de campo.;;3; $ 185.838 ; 0,70 ;Un día;0; -   ;0;;;;;;;;
70;Metodologías;Metodología (sin diseño muestral);Dadas las especificaciones técnicas se crea la metodología en word y en matrix.;;2; $ 224.910 ; 0,50 ;Un día;0; -   ;0;;;;;;;;
71;Metodologías;Metodología (con diseño muestral);Dadas las especificaciones técnicas se crea la metodología en word y en matrix, previa verificación al diseño muestral propuesto.;;5; $ 511.766 ; 0,50 ;Un día;0; -   ;0;;;;;;;;
72;Metodologías;Metodología (PA-con diseño muestral probabilístico);Dadas las especificaciones técnicas se crea la metodología en word y en matrix, previa verificación al diseño muestral probabilístico propuesto.;;10; $ 1.023.532 ; 0,50 ;Dos días;0; -   ;0;;;;;;;;
73;Diseño Muestral;Propuesta Diseño muestral básico;Se entrega el documento en word del diseño, con la muestra propuesta y el universo encontrado. ;;7; $ 635.658 ; 0,50 ;Dos días;0; -   ;0;;;;;;;;
74;Diseño Muestral;Propuesta diseño muestral complejo;Se entrega el documento en word del diseño, con toda la programación en R y marco muestral utilizado.;;70; $ 8.376.940 ;;A convenir;0; -   ;0;;;;;;;;
75;Diseño Muestral;Actualización de diseño muestral complejo;Se entrega el documento en word del diseño, con toda la programación en R y marco muestral final, adicional a todo el acompañamiento y clarificación de dudas. ;;120; $ 11.474.240 ;;A convenir;0; -   ;0;;;;;;;;
76;Procesos Especiales;Tabulados con error muestral o estimaciones asistidas por modelos;Se entrega las tablas con las estimaciones de los indicadores y sus errores muestrales, además de la programación en R.;;50; $ 5.117.660 ; 1,00 ;A convenir;0; -   ;0;;;;;;;;
* Valores estimados por procesos, las asesorias adicionales o acompañamiento a cliente, serían horas adicionales.;;;;;;;;;Total; -   ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;text insight;;;4,5; $ 480.793 ; 0,70 ;;4; 1.490.458 ;;;;;;;;;
;;;;;;;;;; -   ;;;;;;;;;
;;;;;; $ 336.555 ;;;; -   ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; -   ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;3150000;;;;;;;;;;;;;;;;
;;; 17.100.000 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
