KEY;SL;Record_Detail_Level;Metodologia;Horas;Horas PMO;;;;;;;;;;;;;;
INNO | L5 | ICO001  Concepts Legacy Offer;INNO;L5;ICO001  Concepts Legacy Offer;18;;;;;;;;;;;;;;;
INNO | L6 | ICO001  Concepts Legacy Offer;INNO;L6;ICO001  Concepts Legacy Offer;50;;;;;;;;;;;;;;;
INNO | L7 | ICO001  Concepts Legacy Offer;INNO;L7;ICO001  Concepts Legacy Offer;51;;;;;;;;;;;;;;;
INNO | Ops | ICO011  InnoTest IDP Only;INNO;Ops;ICO011  InnoTest IDP Only;-;;;;;;;;;;;;;;;
INNO | IIS | ICO011  InnoTest IDP Only;INNO;IIS;ICO011  InnoTest IDP Only;-;;;;;;;;;;;;;;;
INNO | Digital | ICO011  InnoTest IDP Only;INNO;Digital;ICO011  InnoTest IDP Only;1;;;;;;;;;;;;;;;
INNO | L4 | ICO011  InnoTest IDP Only;INNO;L4;ICO011  InnoTest IDP Only;40;;;;;;;;;;;;;;;
INNO | L5 | ICO011  InnoTest IDP Only;INNO;L5;ICO011  InnoTest IDP Only;18;;;;;;;;;;;;;;;
INNO | L6 | ICO011  InnoTest IDP Only;INNO;L6;ICO011  InnoTest IDP Only;50;;;;;;;;;;;;;;;
INNO | L7 | ICO011  InnoTest IDP Only;INNO;L7;ICO011  InnoTest IDP Only;51;;;;;;;;;;;;;;;
INNO | Ops | ICO010  Duel IDP ONLY;INNO;Ops;ICO010  Duel IDP ONLY;-;;;;;;;;;;;;;;;
INNO | IIS | ICO010  Duel IDP ONLY;INNO;IIS;ICO010  Duel IDP ONLY;-;;;;;;;;;;;;;;;
INNO | Digital | ICO010  Duel IDP ONLY;INNO;Digital;ICO010  Duel IDP ONLY;1;;;;;;;;;;;;;;;
INNO | L4 | ICO010  Duel IDP ONLY;INNO;L4;ICO010  Duel IDP ONLY;28;;;;;;;;;;;;;;;
INNO | L5 | ICO010  Duel IDP ONLY;INNO;L5;ICO010  Duel IDP ONLY;10;;;;;;;;;;;;;;;
INNO | L6 | ICO010  Duel IDP ONLY;INNO;L6;ICO010  Duel IDP ONLY;33;;;;;;;;;;;;;;;
INNO | L7 | ICO010  Duel IDP ONLY;INNO;L7;ICO010  Duel IDP ONLY;33;;;;;;;;;;;;;;;
INNO | Ops | INC005  Discrete Choice (Custom);INNO;Ops;INC005  Discrete Choice (Custom);-;;;;;;;;;;;;;;;
INNO | IIS | INC005  Discrete Choice (Custom);INNO;IIS;INC005  Discrete Choice (Custom);1;;;;;;;;;;;;;;;
INNO | Digital | INC005  Discrete Choice (Custom);INNO;Digital;INC005  Discrete Choice (Custom);-;;;;;;;;;;;;;;;
INNO | L4 | INC005  Discrete Choice (Custom);INNO;L4;INC005  Discrete Choice (Custom);-;;;;;;;;;;;;;;;
INNO | L5 | INC005  Discrete Choice (Custom);INNO;L5;INC005  Discrete Choice (Custom);-;;;;;;;;;;;;;;;
INNO | L6 | INC005  Discrete Choice (Custom);INNO;L6;INC005  Discrete Choice (Custom);-;;;;;;;;;;;;;;;
INNO | L7 | INC005  Discrete Choice (Custom);INNO;L7;INC005  Discrete Choice (Custom);-;;;;;;;;;;;;;;;
INNO | Ops | INV001  Vantis;INNO;Ops;INV001  Vantis;1;;;;;;;;;;;;;;;
INNO | IIS | INV001  Vantis;INNO;IIS;INV001  Vantis;1;;;;;;;;;;;;;;;
INNO | Digital | INV001  Vantis;INNO;Digital;INV001  Vantis;-;;;;;;;;;;;;;;;
INNO | L4 | INV001  Vantis;INNO;L4;INV001  Vantis;12;;;;;;;;;;;;;;;
INNO | L5 | INV001  Vantis;INNO;L5;INV001  Vantis;31;;;;;;;;;;;;;;;
INNO | L6 | INV001  Vantis;INNO;L6;INV001  Vantis;90;;;;;;;;;;;;;;;
INNO | L7 | INV001  Vantis;INNO;L7;INV001  Vantis;90;;;;;;;;;;;;;;;
CEX | Ops | CXR001  CX Relationship;CEX;Ops;CXR001  CX Relationship;-;;;;;;;;;;;;;;;
CEX | IIS | CXR001  CX Relationship;CEX;IIS;CXR001  CX Relationship;-;;;;;;;;;;;;;;;
CEX | Digital | CXR001  CX Relationship;CEX;Digital;CXR001  CX Relationship;-;;;;;;;;;;;;;;;
CEX | L4 | CXR001  CX Relationship;CEX;L4;CXR001  CX Relationship;14;;;;;;;;;;;;;;;
CEX | L5 | CXR001  CX Relationship;CEX;L5;CXR001  CX Relationship;142;;;;;;;;;;;;;;;
CEX | L6 | CXR001  CX Relationship;CEX;L6;CXR001  CX Relationship;244;;;;;;;;;;;;;;;
CEX | L7 | CXR001  CX Relationship;CEX;L7;CXR001  CX Relationship;270;;;;;;;;;;;;;;;
CEX | Ops | CXR003  CX Relationship w/CX Forces;CEX;Ops;CXR003  CX Relationship w/CX Forces;-;;;;;;;;;;;;;;;
CEX | IIS | CXR003  CX Relationship w/CX Forces;CEX;IIS;CXR003  CX Relationship w/CX Forces;-;;;;;;;;;;;;;;;
CEX | Digital | CXR003  CX Relationship w/CX Forces;CEX;Digital;CXR003  CX Relationship w/CX Forces;-;;;;;;;;;;;;;;;
CEX | L4 | CXR003  CX Relationship w/CX Forces;CEX;L4;CXR003  CX Relationship w/CX Forces;12;;;;;;;;;;;;;;;
CEX | L5 | CXR003  CX Relationship w/CX Forces;CEX;L5;CXR003  CX Relationship w/CX Forces;54,5;;;;;;;;;;;;;;;
CEX | L6 | CXR003  CX Relationship w/CX Forces;CEX;L6;CXR003  CX Relationship w/CX Forces;147;;;;;;;;;;;;;;;
CEX | L7 | CXR003  CX Relationship w/CX Forces;CEX;L7;CXR003  CX Relationship w/CX Forces;176;;;;;;;;;;;;;;;
CEX | Ops | CMY005  MS: Location;CEX;Ops;CMY005  MS: Location;-;;;;;;;;;;;;;;;
CEX | IIS | CMY005  MS: Location;CEX;IIS;CMY005  MS: Location;-;;;;;;;;;;;;;;;
CEX | Digital | CMY005  MS: Location;CEX;Digital;CMY005  MS: Location;-;;;;;;;;;;;;;;;
CEX | L4 | CMY005  MS: Location;CEX;L4;CMY005  MS: Location;12;;;;;;;;;;;;;;;
CEX | L5 | CMY005  MS: Location;CEX;L5;CMY005  MS: Location;50,5;;;;;;;;;;;;;;;
CEX | L6 | CMY005  MS: Location;CEX;L6;CMY005  MS: Location;186;;;;;;;;;;;;;;;
CEX | L7 | CMY005  MS: Location;CEX;L7;CMY005  MS: Location;240;;;;;;;;;;;;;;;
CEX | Ops | CMY007  MS: Onsite S&C Audits/BOPIS;CEX;Ops;CMY007  MS: Onsite S&C Audits/BOPIS;-;;;;;;;;;;;;;;;
CEX | IIS | CMY007  MS: Onsite S&C Audits/BOPIS;CEX;IIS;CMY007  MS: Onsite S&C Audits/BOPIS;-;;;;;;;;;;;;;;;
CEX | Digital | CMY007  MS: Onsite S&C Audits/BOPIS;CEX;Digital;CMY007  MS: Onsite S&C Audits/BOPIS;-;;;;;;;;;;;;;;;
CEX | L4 | CMY007  MS: Onsite S&C Audits/BOPIS;CEX;L4;CMY007  MS: Onsite S&C Audits/BOPIS;12;;;;;;;;;;;;;;;
CEX | L5 | CMY007  MS: Onsite S&C Audits/BOPIS;CEX;L5;CMY007  MS: Onsite S&C Audits/BOPIS;50,5;;;;;;;;;;;;;;;
CEX | L6 | CMY007  MS: Onsite S&C Audits/BOPIS;CEX;L6;CMY007  MS: Onsite S&C Audits/BOPIS;211;;;;;;;;;;;;;;;
CEX | L7 | CMY007  MS: Onsite S&C Audits/BOPIS;CEX;L7;CMY007  MS: Onsite S&C Audits/BOPIS;160;;;;;;;;;;;;;;;
CEX | Ops | CXT009  CXM Transactional NonCXM;CEX;Ops;CXT009  CXM Transactional NonCXM;-;;;;;;;;;;;;;;;
CEX | IIS | CXT009  CXM Transactional NonCXM;CEX;IIS;CXT009  CXM Transactional NonCXM;-;;;;;;;;;;;;;;;
CEX | Digital | CXT009  CXM Transactional NonCXM;CEX;Digital;CXT009  CXM Transactional NonCXM;-;;;;;;;;;;;;;;;
CEX | L4 | CXT009  CXM Transactional NonCXM;CEX;L4;CXT009  CXM Transactional NonCXM;31;;;;;;;;;;;;;;;
CEX | L5 | CXT009  CXM Transactional NonCXM;CEX;L5;CXT009  CXM Transactional NonCXM;141;;;;;;;;;;;;;;;
CEX | L6 | CXT009  CXM Transactional NonCXM;CEX;L6;CXT009  CXM Transactional NonCXM;284;;;;;;;;;;;;;;;
CEX | L7 | CXT009  CXM Transactional NonCXM;CEX;L7;CXT009  CXM Transactional NonCXM;278;;;;;;;;;;;;;;;
CEX | Ops | CXA001  CEX Workshops;CEX;Ops;CXA001  CEX Workshops;-;;;;;;;;;;;;;;;
CEX | IIS | CXA001  CEX Workshops;CEX;IIS;CXA001  CEX Workshops;-;;;;;;;;;;;;;;;
CEX | Digital | CXA001  CEX Workshops;CEX;Digital;CXA001  CEX Workshops;-;;;;;;;;;;;;;;;
CEX | L4 | CXA001  CEX Workshops;CEX;L4;CXA001  CEX Workshops;12;;;;;;;;;;;;;;;
CEX | L5 | CXA001  CEX Workshops;CEX;L5;CXA001  CEX Workshops;54,5;;;;;;;;;;;;;;;
CEX | L6 | CXA001  CEX Workshops;CEX;L6;CXA001  CEX Workshops;96;;;;;;;;;;;;;;;
CEX | L7 | CXA001  CEX Workshops;CEX;L7;CXA001  CEX Workshops;74;;;;;;;;;;;;;;;
CEX | Ops | CXT005  CXM Medallia;CEX;Ops;CXT005  CXM Medallia;-;;;;;;;;;;;;;;;
CEX | IIS | CXT005  CXM Medallia;CEX;IIS;CXT005  CXM Medallia;-;;;;;;;;;;;;;;;
CEX | Digital | CXT005  CXM Medallia;CEX;Digital;CXT005  CXM Medallia;-;;;;;;;;;;;;;;;
CEX | L4 | CXT005  CXM Medallia;CEX;L4;CXT005  CXM Medallia;12;;;;;;;;;;;;;;;
CEX | L5 | CXT005  CXM Medallia;CEX;L5;CXT005  CXM Medallia;69;;;;;;;;;;;;;;;
CEX | L6 | CXT005  CXM Medallia;CEX;L6;CXT005  CXM Medallia;137;;;;;;;;;;;;;;;
CEX | L7 | CXT005  CXM Medallia;CEX;L7;CXT005  CXM Medallia;0;;;;;;;;;;;;;;;
MSU | L4 | MSC003 - Market Structure;MSU;L4;MSC003 - Market Structure;12;;;;;;;;;;;;;;;
MSU | L5 | MSC003 - Market Structure;MSU;L5;MSC003 - Market Structure;90;;;;;;;;;;;;;;;
