;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;NSE 1;NSE 2;NSE 3;NSE 4;NSE 5;NSE 6;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nariño;Córdoba; $ 176.000 ; $ 26.000 ; $ 202.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nariño;Tumaco; $ 240.000 ; $ 26.000 ; $ 266.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norte de Santander;Cúcuta; $ 146.000 ; $ 26.000 ; $ 172.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norte de Santander;Convención; $ 266.000 ; $ 26.000 ; $ 292.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norte de Santander;Los Patios; $ 16.000 ; $ 16.000 ; $ 32.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norte de Santander;Villa Del Rosario; $ 166.000 ; $ 26.000 ; $ 192.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Putumayo;San Miguel; $ 242.000 ; $ 26.000 ; $ 268.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Putumayo;Puerto Asís; $ 300.000 ; $ 26.000 ; $ 326.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Putumayo;Villagarzón; $ 200.000 ; $ 26.000 ; $ 226.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quindío;Armenia; $ 42.000 ; $ 26.000 ; $ 68.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quindío;La Tebaida; $ 164.000 ; $ 26.000 ; $ 190.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Risaralda;Pereira; $ 106.000 ; $ 26.000 ; $ 132.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Risaralda;Dosquebradas; $ 42.000 ; $ 26.000 ; $ 68.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Risaralda;La Virginia; $ 170.000 ; $ 16.000 ; $ 186.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Risaralda;Belen de Umbria; $ 140.000 ; $ 16.000 ; $ 156.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Risaralda;Apía; $ 30.000 ; $ 16.000 ; $ 46.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Risaralda;Genova; $ 340.000 ; $ 16.000 ; $ 356.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santander;Floridablanca; $ 8.000 ; $ 8.000 ; $ 16.000 ; $ 8.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santander;Barrancabermeja; $ 90.000 ; $ 26.000 ; $ 116.000 ; $ 8.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santander;Girón; $ 8.000 ; $ 8.000 ; $ 16.000 ; $ 8.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santander;San Gil; $ 86.000 ; $ 26.000 ; $ 112.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sucre;Sincelejo; $ 146.000 ; $ 26.000 ; $ 172.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sucre;Sampués; $ 180.000 ; $ 26.000 ; $ 206.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sucre;San Onofre; $ 170.000 ; $ 26.000 ; $ 196.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tolima;Ibagué; $ 104.000 ; $ 26.000 ; $ 130.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tolima;Coello; $ 60.000 ; $ 26.000 ; $ 86.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tolima;Fresno; $ 64.000 ; $ 26.000 ; $ 90.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Palmira; $ 20.000 ; $ 8.000 ; $ 28.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Jamundi; $ 40.000 ; $ 13.000 ; $ 53.000 ; $ 12.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Buga; $ 60.000 ; $ 13.000 ; $ 73.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Buenaventura; $ 107.000 ; $ 26.000 ; $ 133.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Jamundí; $ 80.000 ; $ 26.000 ; $ 106.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Pradera; $ 28.000 ; $ 26.000 ; $ 54.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Palmira; $ 28.000 ; $ 26.000 ; $ 54.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Bugalagrande; $ 64.000 ; $ 16.000 ; $ 80.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Candelaria; $ 64.000 ; $ 16.000 ; $ 80.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;El cerrito; $ 54.000 ; $ 16.000 ; $ 70.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Florida; $ 56.000 ; $ 16.000 ; $ 72.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Guacari; $ 56.000 ; $ 16.000 ; $ 72.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Tuluá; $ 40.000 ; $ 8.000 ; $ 48.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Yotoco; $ 32.400 ; $ 8.000 ; $ 40.400 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Villa Rica; $ 70.000 ; $ 8.000 ; $ 78.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vichada;Cumaribo; $ 600.000 ; $ 26.000 ; $ 626.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Florida; $ 56.000 ; $ 16.000 ; $ 72.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Guacari; $ 56.000 ; $ 16.000 ; $ 72.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Tulua; $ 40.000 ; $ 8.000 ; $ 48.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Yotoco; $ 32.400 ; $ 8.000 ; $ 40.400 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle del Cauca;Villa Rica; $ 70.000 ; $ 8.000 ; $ 78.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vichada;Cumaribo; $ 600.000 ; $ 26.000 ; $ 626.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
