60;51 - 60 minutos; $ 25.123 ; $ 13.207 ; $ 38.330 ; $ 25.623 ; $ 13.207 ; $ 38.830 ; $ 26.123 ; $ 13.207 ; $ 39.330 ; $ 26.523 ; $ 13.307 ; $ 39.830 ; $ 27.362 ; $ 13.468 ; $ 40.830 ; $ 28.225 ; $ 14.105 ; $ 42.330 ; $ 30.630 ; $ 15.200 ; $ 45.830 ; $ 33.630 ; $ 15.200 ; $ 48.830 ; $ 36.130 ; $ 15.200 ; $ 51.330 ; $ 38.630 ; $ 15.200 ; $ 53.830 ; $ 41.130 ; $ 15.200 ; $ 56.330 ;;;51 - 60 minutos;; $ 500 ; $ 500 ; $ 500 ; $ 1.000 ; $ 1.500 ; $ 3.500 ; $ 3.000 ; $ 2.500 ; $ 2.500 ; $ 2.500 ; $ 5.000 ; $ 5.000 ; $ 5.000 ; $ 5.000 ; $ 5.000 ; $ 5.000 ; $ 5.000 ; $ 4.000 ; $ 4.000 ; $ 4.000 ; $ 4.000 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Diferencia entre perfiles;Mas 75%;;;;;51-75%;;;31-50%;16-30%;0-15% Valor por encuesta no olvidar agregar precio de reclutamiento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0-5 minutos;5;;;;;;;;;;;;;;;;;0-5 minutos;;;;;;#REF!;;;#REF!;#VALOR!;#VALOR!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6-10 minutos;10;;;;;;;;;;;;;;;;;11-15 minutos;;;;;;#REF!;;;#REF!;#VALOR!;#VALOR!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11-15minutos;15;;;;;;;;;;;;;;;;;16-25 minutos;;;;;;#REF!;;;#REF!;#VALOR!;#VALOR!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16-20minutos;20;;;;;;;;;;;;;;;;;26-35 minutos;;;;;;#REF!;;;#REF!;#VALOR!;#VALOR!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;21-30 minutos;30;;;;;;;;;;;;;;;;;36-45 minutos;;;;;;#REF!;;;#REF!;#VALOR!;#VALOR!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;31-40 minutos;40;;;;;;;;;;;;;;;;;46 minutos 1 hora;6;;;;; $ 5 ;;; $ 4 ; $ 3 ; $ 2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
