BI;sp_TransferiListaJob
dbo;CORE_DocumentosXHilo_Get
dbo;CORE_Feedback_Add
dbo;CORE_Hilo_Add
dbo;CORE_HilosGetxContenedor
dbo;Core_Log_Entrada_Add
dbo;CORE_Log_WorkFlow_Add
dbo;CORE_Log_WorkFlow_MasivoEstadoCreada_Add
dbo;CORE_ObservacionesTareas_Get
dbo;CORE_obtenerCantidadTareasXTrabajo
dbo;CORE_obtenerusuariosasignados_get
dbo;CORE_Planeacion_Add
dbo;CORE_Tareas_Get
dbo;CORE_TareasDependientes_Finalizar
dbo;CORE_TareasXUnidadEjecuta
dbo;CORE_Trabajos_WithWorkFlow
dbo;CORE_Trabajos_WithWorkFlow_Get
dbo;CORE_TrabajosTareas_Count_Get
dbo;CORE_TrabajosTareas_Get
dbo;Core_UnidadesAll
dbo;CORE_UsuariosAsignadosXProceso
dbo;CORE_WorkFlow_Add
dbo;CORE_WorkFlow_AddDuplicados
dbo;CORE_WorkFlow_Edit
dbo;CORE_WorkFlow_GetxHiloid
dbo;CORE_WorkFlow_GetXTrabajoXTarea
dbo;CORE_WorkFlow_TareasAsociadas_Get
dbo;CORE_WorkFlow_TareasPrevias_Get
dbo;CORE_WorkFlow_Trabajos_Get
dbo;CORE_WorkFlow_UsuariosANotificarTareaDevuelta_Get
dbo;CORE_WorkFlow_UsuariosAsignados_Get
dbo;CT_TareasList
dbo;CT_TareasListPendientesAsignacion
dbo;CT_TareasPrevias
dbo;CT_TareasTrabajosList
dbo;CT_UnidadesAsignacionXUsuario
dbo;CU_AlternativasNoUsadasXEstudio
dbo;CU_AnuncioAprobacion_Get
dbo;CU_Brief_Add
dbo;CU_Brief_Clone
dbo;CU_Brief_Del
dbo;CU_Brief_Edit
dbo;CU_Brief_Edit_GerenteCuentas
dbo;CU_Brief_Edit_RazonNoViabilidad
dbo;CU_Brief_Edit_Viabilidad
dbo;CU_Brief_Get
dbo;CU_Brief_Get_Not_Propuesta
dbo;CU_Brief_LogCambioGerente_Add
dbo;CU_CambioAlternativaAprobada
dbo;CU_Ciudades_Get
dbo;CU_Cliente_Add
dbo;CU_Cliente_Edit
dbo;CU_Cliente_Get
dbo;CU_Contactos_Add
dbo;CU_Contactos_Edit
dbo;CU_Contactos_Get
dbo;CU_Contactos_GetMail
dbo;CU_CONTACTOS_PQR_GET
dbo;CU_Departamentos_Get
dbo;CU_EstadoPropuesta_Get
dbo;CU_Estudios_Edit
dbo;CU_Estudios_Edit_Seguimiento
dbo;CU_Estudios_Edit2
